Ticket No,Priority,State,Category,Sub Category,Skill Team,Hosting,Create Date,Picked Date,Completed Date,Assignee,Customer Rating,Outcome,Escalated,Reached via
T219,Medium,Oregon,Data Privacy,GDPR,HR,Vendor Cloud,5/11/2021 12:15,5/11/2021 12:16,5/13/2021 22:08,Charlotte,Excellent (5),Resolved,,Ticket Portal
T22,High,Florida,Cyber Security Breach,Malware Attack,Finance,On Prem Server,1/11/2021 18:15,1/11/2021 18:15,1/13/2021 11:10,Benny,Excellent (5),Recommended Threat Assessment,,Mail
T220,Low,California,Data Privacy,HIPAA,Finance,On Prem Server,5/11/2021 17:17,5/11/2021 17:18,5/13/2021 11:46,Kareema,Excellent (5),Resolved,,Mail
T221,High,New York,Data Leak,Insider Threat,HR,On Prem Cloud,5/11/2021 17:17,5/11/2021 17:18,5/13/2021 11:46,Kareema,Unsatisfactory (2),Resolved,,Ticket Portal
T222,High,Florida,Cyber Security Breach,Malware Attack,Finance,On Prem Server,5/11/2021 18:15,5/11/2021 18:15,5/13/2021 11:10,Benny,Excellent (5),Recommended Threat Assessment,,Ticket Portal
T223,Medium,Colorado,Cyber Consultation,Segregation of Duties,Finance,On Prem Cloud,5/11/2021 18:15,5/11/2021 18:15,5/13/2021 11:10,Benny,Good (4),Advised for a risk assessment,,Mail
T224,Medium,California,Data Privacy,PCI-DSS,Legal,On Prem Server,5/11/2021 23:36,5/12/2021 1:18,5/17/2021 21:45,Martina,Excellent (5),Resolved,,Ticket Portal
T225,Medium,District of Columbia,Cyber Consultation,Segregation of Duties,IT,On Prem Server,5/11/2021 23:36,5/12/2021 1:18,5/17/2021 21:45,Martina,Good (4),Recommended Threat Assessment,,Ticket Portal
T226,High,California,Cyber Security Breach,Firewall,IT,On Prem Server,5/12/2021 11:55,5/12/2021 11:58,5/17/2021 9:47,Benny,Excellent (5),Resolved,,Ticket Portal
T227,High,Colorado,Data Privacy,HIPAA,HR,Vendor Cloud,5/12/2021 11:55,5/12/2021 11:58,5/17/2021 9:47,Benny,Excellent (5),Resolved,,Ticket Portal
T228,High,Virginia,Cyber Consultation,BCP/DR,IT,On Prem Server,5/12/2021 17:45,5/12/2021 17:46,5/13/2021 11:45,Kareema,Good (4),Advised for a risk assessment,,Ticket Portal
T229,High,Mississippi,Security Gap,Unauthorized access,Manufacturing,Vendor Cloud,5/12/2021 17:45,5/12/2021 17:46,5/13/2021 11:45,Kareema,Excellent (5),Advised for a risk assessment,,Personal Call
T23,Medium,California,Data Privacy,PCI-DSS,Legal,On Prem Server,1/11/2021 23:36,1/12/2021 1:18,1/17/2021 21:45,Martina,Excellent (5),Resolved,,Mail
T230,Low,Illinois,Data Leak,Vishing,HR,On Prem Server,5/13/2021 10:30,5/13/2021 10:40,5/13/2021 19:16,Benny,Excellent (5),Resolved,,Ticket Portal
T231,High,Alabama,Cyber Security Breach,Spyware,HR,On Prem Cloud,5/13/2021 11:20,5/13/2021 11:20,5/13/2021 12:02,Benny,Excellent (5),Recommended Threat Assessment,,Personal Call
T232,High,Utah,Data Privacy,GDPR,Finance,On Prem Server,5/13/2021 14:20,5/13/2021 14:28,5/17/2021 10:43,Benny,Excellent (5),Resolved,,Ticket Portal
T233,Low,California,Cyber Consultation,Database Security,IT,On Prem Server,5/13/2021 21:53,5/13/2021 21:54,5/17/2021 18:36,Charlotte,Excellent (5),Advised for a risk assessment,,Mail
T234,Low,Massachusetts,Data Privacy,Privacy Assessment,IT,On Prem Cloud,5/14/2021 13:09,5/14/2021 16:35,5/18/2021 17:02,Martina,Excellent (5),Advised for a risk assessment,,Personal Call
T235,Low,Ohio,Data Leak,Phishing,HR,On Prem Server,5/17/2021 9:56,5/17/2021 9:57,5/17/2021 9:58,Benny,Excellent (5),Resolved,,Ticket Portal
T236,Low,Florida,Cyber Consultation,Application Offboarding,Manufacturing,On Prem Server,5/17/2021 16:26,5/17/2021 16:28,7/16/2021 9:06,Bob,Excellent (5),Advised for a risk assessment,,Ticket Portal
T237,Medium,New York,Data Leak,Insider Threat,Marketing,Vendor Cloud,5/17/2021 21:07,5/17/2021 21:17,7/13/2021 18:57,Martina,Unsatisfactory (2),Resolved,,Ticket Portal
T238,High,California,Cyber Consultation,BCP/DR,Finance,On Prem Cloud,5/18/2021 11:34,5/18/2021 11:35,7/16/2021 12:54,Robbin,Excellent (5),Resolved,,Ticket Portal
T239,High,New York,Data Privacy,HIPAA,IT,On Prem Server,5/18/2021 20:29,5/18/2021 20:36,6/2/2021 10:13,Charles,Excellent (5),Recommended Threat Assessment,,Ticket Portal
T24,High,California,Cyber Security Breach,Firewall,IT,On Prem Server,1/12/2021 11:55,1/12/2021 11:58,1/17/2021 9:47,Benny,Excellent (5),Resolved,,Ticket Portal
T240,Low,California,Data Privacy,HIPAA,Manufacturing,Vendor Cloud,5/18/2021 20:43,5/18/2021 20:49,5/25/2021 19:11,Charles,Excellent (5),Recommended Threat Assessment,,Ticket Portal
T241,High,California,Data Leak,Insider Threat,HR,Vendor Cloud,5/19/2021 4:21,5/19/2021 4:22,5/19/2021 4:23,Benny,Unsatisfactory (2),Recommended Threat Assessment,,Personal Call
T242,Medium,North Carolina,Data Leak,Phishing,Marketing,On Prem Server,5/19/2021 6:13,5/19/2021 6:18,5/19/2021 18:52,Benny,Excellent (5),Recommended Threat Assessment,,Mail
T243,High,Iowa,Cyber Security Breach,Malware Attack,HR,On Prem Server,5/19/2021 6:14,5/19/2021 6:16,5/25/2021 14:25,Benny,Excellent (5),Advised for a risk assessment,,Ticket Portal
T244,High,Wisconsin,Cyber Security Breach,Malware Attack,IT,On Prem Server,5/19/2021 13:58,5/19/2021 14:01,6/2/2021 10:20,Martina,Excellent (5),Resolved,,Ticket Portal
T245,High,California,Data Leak,Vishing,HR,On Prem Server,5/19/2021 18:34,5/19/2021 18:37,5/24/2021 12:17,Martina,Excellent (5),Recommended Threat Assessment,,Personal Call
T246,Medium,New Jersey,Cyber Consultation,Secure Development,IT,Vendor Cloud,5/20/2021 8:44,5/20/2021 8:45,5/20/2021 8:52,Martina,Excellent (5),Advised for a risk assessment,,Ticket Portal
T247,Low,District of Columbia,Data Privacy,Privacy Assessment,IT,On Prem Server,5/20/2021 15:49,5/20/2021 15:55,5/28/2021 10:11,Cinderalla,Excellent (5),Recommended Threat Assessment,,Ticket Portal
T248,High,New York,Data Privacy,HIPAA,HR,On Prem Server,5/20/2021 21:23,5/20/2021 21:27,5/20/2021 21:27,Martina,Excellent (5),Resolved,,Personal Call
T249,Low,Florida,Cyber Consultation,Segregation of Duties,Marketing,On Prem Cloud,5/21/2021 18:18,5/21/2021 18:31,6/9/2021 12:11,Robbin,Excellent (5),Resolved,,Ticket Portal
T25,High,Colorado,Data Privacy,HIPAA,HR,Vendor Cloud,1/12/2021 11:55,1/12/2021 11:58,1/17/2021 9:47,Benny,Excellent (5),Resolved,,Personal Call
T250,Low,Pennsylvania,Data Privacy,Privacy Assessment,HR,Vendor Cloud,5/25/2021 11:01,5/25/2021 11:05,5/31/2021 11:30,Sebastian,Excellent (5),Resolved,,Ticket Portal
T251,Medium,Utah,Data Privacy,HIPAA,HR,Vendor Cloud,5/25/2021 18:56,5/25/2021 19:49,5/25/2021 19:49,Sebastian,Excellent (5),Advised for a risk assessment,,Mail
T252,High,California,Data Privacy,GDPR,IT,On Prem Cloud,5/25/2021 23:29,5/25/2021 23:37,6/3/2021 18:54,Martina,Excellent (5),Advised for a risk assessment,,Mail
T253,High,Virginia,Data Leak,Phishing,Finance,Vendor Cloud,5/26/2021 11:43,5/26/2021 11:44,5/26/2021 11:46,Kareema,Excellent (5),Resolved,,Ticket Portal
T254,High,Florida,Security Gap,Obsolete Software,Manufacturing,On Prem Cloud,5/26/2021 19:27,5/26/2021 19:30,9/22/2021 11:17,Robbin,Good (4),Recommended Threat Assessment,,Ticket Portal
T255,High,Michigan,Data Privacy,PCI-DSS,IT,On Prem Cloud,5/27/2021 15:20,5/27/2021 15:21,5/27/2021 15:40,Martina,Unsatisfactory (2),Resolved,,Ticket Portal
T256,High,North Carolina,Cyber Security Breach,Malware Attack,IT,On Prem Server,5/27/2021 15:58,5/27/2021 16:15,6/8/2021 9:23,Martina,Excellent (5),Advised for a risk assessment,,Ticket Portal
T257,Low,Georgia,Data Leak,Insider Threat,Legal,Vendor Cloud,5/27/2021 16:21,5/27/2021 16:24,6/3/2021 19:36,Allan,Excellent (5),Resolved,,Ticket Portal
T258,Medium,California,Data Privacy,Privacy Assessment,Finance,On Prem Cloud,5/27/2021 17:44,5/27/2021 18:14,6/3/2021 19:26,Sylviya,Unsatisfactory (2),Recommended Threat Assessment,,Ticket Portal
T259,Low,Washington,Cyber Consultation,Secure Development,HR,Vendor Cloud,5/27/2021 21:00,5/27/2021 21:00,5/27/2021 21:20,Martina,Excellent (5),Recommended Threat Assessment,,Ticket Portal
T26,High,Virginia,Cyber Consultation,BCP/DR,IT,On Prem Server,1/12/2021 17:45,1/12/2021 17:46,1/13/2021 11:45,Kareema,Good (4),Advised for a risk assessment,,Ticket Portal
T260,Low,Washington,Cyber Consultation,New Application Launch,Finance,On Prem Server,5/28/2021 15:09,5/28/2021 15:12,6/22/2021 16:21,Kareema,Good (4),Resolved,,Ticket Portal
T261,Medium,Tennessee,Cyber Consultation,BCP/DR,IT,On Prem Server,5/28/2021 20:30,5/31/2021 8:53,6/15/2021 11:00,Martina,Excellent (5),Advised for a risk assessment,,Mail
T262,Medium,Connecticut,Security Gap,Obsolete Software,Finance,On Prem Server,5/31/2021 9:37,5/31/2021 9:37,5/31/2021 9:40,Allan,Satisfactory (3),Resolved,,Ticket Portal
T263,Low,California,Cyber Consultation,New Application Launch,Finance,On Prem Server,5/31/2021 9:46,5/31/2021 9:47,5/31/2021 9:51,Allan,Unsatisfactory (2),Recommended Threat Assessment,,Ticket Portal
T264,Medium,Wisconsin,Data Privacy,Privacy Assessment,IT,On Prem Server,5/31/2021 9:46,5/31/2021 9:47,6/3/2021 19:56,Allan,Satisfactory (3),Resolved,,Mail
T265,High,Connecticut,Cyber Consultation,Segregation of Duties,Finance,On Prem Server,5/31/2021 9:46,5/31/2021 9:47,5/31/2021 9:57,Allan,Excellent (5),Resolved,,Ticket Portal
T266,Medium,Illinois,Cyber Consultation,Third Party Engagement,IT,On Prem Server,5/31/2021 10:04,5/31/2021 10:04,7/6/2021 9:35,Allan,Unsatisfactory (2),Resolved,,Mail
T267,Low,California,Cyber Consultation,BCP/DR,Marketing,Vendor Cloud,5/31/2021 11:13,5/31/2021 11:13,5/31/2021 11:38,Allan,Satisfactory (3),Resolved,,Ticket Portal
T268,High,Florida,Cyber Security Breach,Malware Attack,IT,On Prem Cloud,5/31/2021 15:53,5/31/2021 15:56,6/4/2021 12:27,Sylviya,Excellent (5),Recommended Threat Assessment,,Personal Call
T269,Medium,Maryland,Security Gap,Password non-expiry,Finance,On Prem Server,6/1/2021 10:58,6/1/2021 11:00,6/7/2021 10:45,Martina,Excellent (5),Advised for a risk assessment,,Ticket Portal
T27,High,Alabama,Cyber Security Breach,Spyware,HR,On Prem Cloud,1/13/2021 11:20,1/13/2021 11:20,1/13/2021 12:02,Benny,Excellent (5),Recommended Threat Assessment,,Mail
T270,Low,Utah,Security Gap,Unauthorized software,Legal,Vendor Cloud,6/2/2021 15:56,6/2/2021 16:02,6/9/2021 19:23,Cinderalla,Good (4),Resolved,,Ticket Portal
T271,High,New York,Cyber Security Breach,Malware Attack,Finance,On Prem Server,6/2/2021 16:28,6/2/2021 16:31,6/14/2021 15:50,Charlotte,Excellent (5),Resolved,,Personal Call
T272,High,Texas,Cyber Security Breach,Malware Attack,Marketing,Vendor Cloud,6/2/2021 17:52,6/2/2021 17:59,7/15/2021 17:32,Martina,Excellent (5),Resolved,,Mail
T273,Low,Texas,Cyber Consultation,Application Offboarding,HR,On Prem Server,6/2/2021 22:41,6/2/2021 23:12,6/3/2021 20:33,Martina,Excellent (5),Resolved,,Personal Call
T274,High,New York,Data Leak,Phishing,IT,On Prem Server,6/3/2021 17:54,6/4/2021 16:02,9/21/2021 9:53,Martina,Satisfactory (3),Recommended Threat Assessment,,Ticket Portal
T275,Medium,California,Data Privacy,HIPAA,HR,On Prem Cloud,6/4/2021 15:11,6/4/2021 15:12,6/8/2021 9:55,Martina,Unsatisfactory (2),Resolved,,Ticket Portal
T276,High,Texas,Cyber Consultation,Database Security,IT,On Prem Server,6/7/2021 11:03,6/7/2021 11:04,6/7/2021 11:05,Sebastian,Good (4),Advised for a risk assessment,,Ticket Portal
T277,Low,Virginia,Data Privacy,Privacy Assessment,IT,On Prem Server,6/7/2021 16:14,6/7/2021 17:03,6/8/2021 12:03,Charles,Good (4),Recommended Threat Assessment,,Ticket Portal
T278,High,Virginia,Data Privacy,HIPAA,Manufacturing,On Prem Server,6/7/2021 23:13,6/8/2021 7:36,6/23/2021 19:47,Martina,Unsatisfactory (2),Advised for a risk assessment,Yes,Ticket Portal
T279,High,New York,Cyber Consultation,Third Party Engagement,IT,On Prem Server,6/8/2021 15:33,6/8/2021 15:35,6/8/2021 20:08,Bob,Satisfactory (3),Advised for a risk assessment,,Ticket Portal
T28,High,Utah,Data Privacy,GDPR,Finance,On Prem Server,1/13/2021 14:20,1/13/2021 14:28,1/17/2021 10:43,Benny,Excellent (5),Resolved,,Ticket Portal
T280,Low,Texas,Data Privacy,PCI-DSS,Manufacturing,On Prem Cloud,6/8/2021 17:18,6/8/2021 17:27,6/24/2021 9:52,Bob,Unsatisfactory (2),Recommended Threat Assessment,Yes,Ticket Portal
T281,Medium,Utah,Cyber Consultation,New Application Launch,Manufacturing,On Prem Server,6/8/2021 18:30,6/9/2021 14:01,6/14/2021 12:59,Veronica,Good (4),Advised for a risk assessment,,Ticket Portal
T282,High,Washington,Cyber Consultation,Application Offboarding,Legal,On Prem Cloud,6/8/2021 19:30,6/8/2021 20:30,6/9/2021 10:55,Martina,Excellent (5),Advised for a risk assessment,,Ticket Portal
T283,High,Ohio,Data Privacy,HIPAA,HR,On Prem Cloud,6/9/2021 11:04,6/9/2021 11:08,6/15/2021 17:23,Charles,Satisfactory (3),Advised for a risk assessment,,Ticket Portal
T284,Low,Massachusetts,Cyber Consultation,New Application Launch,Legal,On Prem Server,6/9/2021 18:56,6/9/2021 19:07,7/1/2021 22:06,Cinderalla,Satisfactory (3),Resolved,,Personal Call
T285,High,Florida,Data Leak,Phishing,Finance,On Prem Server,6/9/2021 19:44,6/9/2021 19:54,7/28/2021 21:50,Aleena,Excellent (5),Advised for a risk assessment,,Mail
T286,High,New York,Cyber Consultation,Application Offboarding,Marketing,Vendor Cloud,6/9/2021 19:57,6/9/2021 19:59,6/16/2021 10:20,Cinderalla,Excellent (5),Advised for a risk assessment,,Ticket Portal
T287,Medium,Virginia,Cyber Consultation,Access Management,Legal,On Prem Cloud,6/10/2021 11:42,6/10/2021 11:45,7/22/2021 11:06,Michael,Good (4),Resolved,,Ticket Portal
T288,Low,Florida,Data Privacy,PCI-DSS,HR,On Prem Cloud,6/10/2021 19:35,6/10/2021 19:44,6/11/2021 18:57,Sebastian,Unsatisfactory (2),Recommended Threat Assessment,Yes,Ticket Portal
T289,Low,Illinois,Data Privacy,HIPAA,HR,On Prem Server,6/11/2021 16:46,6/11/2021 16:48,6/11/2021 16:48,Robbin,Excellent (5),Recommended Threat Assessment,,Personal Call
T29,Low,California,Cyber Consultation,Database Security,IT,On Prem Server,1/13/2021 21:53,1/13/2021 21:54,1/17/2021 18:36,Charlotte,Excellent (5),Advised for a risk assessment,,Ticket Portal
T290,Medium,California,Data Privacy,GDPR,IT,Vendor Cloud,6/11/2021 19:22,6/11/2021 19:22,6/11/2021 19:23,Robbin,Excellent (5),Advised for a risk assessment,,Ticket Portal
T291,High,New York,Data Leak,Insider Threat,IT,On Prem Server,6/11/2021 23:15,6/12/2021 8:29,6/18/2021 11:48,Charles,Good (4),Resolved,,Ticket Portal
T292,Medium,Illinois,Security Gap,Password non-expiry,Legal,On Prem Cloud,6/14/2021 11:43,6/14/2021 11:46,6/22/2021 19:02,Michael,Satisfactory (3),Advised for a risk assessment,,Mail
T293,Medium,Kansas,Security Gap,Obsolete Software,IT,Vendor Cloud,6/14/2021 11:55,6/14/2021 11:57,6/28/2021 14:10,Sebastian,Unsatisfactory (2),Resolved,Yes,Ticket Portal
T294,High,Florida,Data Leak,Vishing,IT,On Prem Cloud,6/14/2021 12:07,6/14/2021 12:07,6/14/2021 12:09,Michael,Excellent (5),Resolved,,Personal Call
T295,High,New York,Cyber Consultation,BCP/DR,Finance,Vendor Cloud,6/14/2021 14:00,6/14/2021 14:04,6/24/2021 11:01,Cinderalla,Satisfactory (3),Advised for a risk assessment,,Personal Call
T296,High,Texas,Data Privacy,HIPAA,IT,On Prem Server,6/15/2021 0:16,6/15/2021 0:22,6/30/2021 18:18,Sebastian,Good (4),Resolved,,Personal Call
T297,High,New York,Cyber Security Breach,Firewall,IT,On Prem Server,6/15/2021 17:07,6/15/2021 17:13,6/24/2021 20:13,Sylviya,Excellent (5),Resolved,,Mail
T298,High,Massachusetts,Cyber Security Breach,Spyware,Finance,On Prem Server,6/15/2021 18:27,6/15/2021 18:33,6/22/2021 19:07,Michael,Satisfactory (3),Resolved,,Ticket Portal
T299,High,Michigan,Data Leak,Phishing,Finance,On Prem Server,6/16/2021 20:45,6/16/2021 20:46,6/16/2021 20:51,Robbin,Excellent (5),Recommended Threat Assessment,,Ticket Portal
T30,High,California,Cyber Consultation,BCP/DR,Finance,On Prem Cloud,1/18/2021 11:34,1/18/2021 11:35,7/16/2021 12:54,Robbin,Excellent (5),Resolved,,Mail
T300,High,Nevada,Data Leak,Vishing,HR,On Prem Server,6/17/2021 12:19,6/17/2021 12:20,6/29/2021 13:16,Robbin,Excellent (5),Recommended Threat Assessment,,Personal Call
T301,Low,Colorado,Data Leak,Phishing,Finance,On Prem Server,6/18/2021 16:41,6/18/2021 16:41,6/18/2021 19:38,Robbin,Unsatisfactory (2),Resolved,Yes,Ticket Portal
T302,High,Texas,Data Privacy,GDPR,Legal,On Prem Server,6/18/2021 19:35,6/18/2021 19:35,6/21/2021 18:27,Veronica,Excellent (5),Recommended Threat Assessment,,Ticket Portal
T303,Low,Kentucky,Cyber Consultation,Encryption,IT,On Prem Server,6/21/2021 10:55,6/21/2021 10:57,6/22/2021 16:24,Kareema,Excellent (5),Advised for a risk assessment,,Ticket Portal
T304,Medium,Maryland,Cyber Consultation,Application Offboarding,Legal,Vendor Cloud,6/21/2021 11:12,6/21/2021 11:13,6/25/2021 16:52,Kareema,Excellent (5),Advised for a risk assessment,,Ticket Portal
T305,Low,California,Cyber Consultation,Third Party Engagement,Legal,On Prem Server,6/21/2021 16:03,6/21/2021 16:10,6/25/2021 15:11,Charles,Excellent (5),Advised for a risk assessment,,Personal Call
T306,Medium,Illinois,Data Leak,Phishing,HR,On Prem Cloud,6/21/2021 20:08,6/21/2021 20:20,6/26/2021 10:59,Cinderalla,Good (4),Advised for a risk assessment,,Mail
T307,Low,Virginia,Data Leak,Insider Threat,Finance,Vendor Cloud,6/22/2021 15:04,6/22/2021 15:09,7/1/2021 0:38,Sean,Excellent (5),Recommended Threat Assessment,,Ticket Portal
T308,Medium,New Jersey,Data Privacy,PCI-DSS,IT,On Prem Server,6/22/2021 17:44,6/22/2021 17:44,6/22/2021 17:47,Robbin,Unsatisfactory (2),Recommended Threat Assessment,,Ticket Portal
T309,High,South Carolina,Cyber Security Breach,Spyware,Legal,On Prem Server,6/23/2021 13:26,6/23/2021 13:26,6/23/2021 13:28,Michael,Good (4),Recommended Threat Assessment,,Ticket Portal
T31,High,California,Data Leak,Insider Threat,HR,Vendor Cloud,1/19/2021 4:21,1/19/2021 4:22,1/19/2021 4:23,Benny,Unsatisfactory (2),Recommended Threat Assessment,No,Ticket Portal
T310,High,Virginia,Cyber Security Breach,Malware Attack,IT,On Prem Cloud,6/23/2021 13:30,6/23/2021 13:31,6/23/2021 13:32,Michael,Satisfactory (3),Advised for a risk assessment,,Ticket Portal
T311,Medium,Massachusetts,Cyber Consultation,Access Management,Marketing,On Prem Server,6/23/2021 15:31,6/23/2021 15:37,6/24/2021 16:50,Charles,Excellent (5),Resolved,,Ticket Portal
T312,High,Georgia,Cyber Security Breach,Firewall,Manufacturing,Vendor Cloud,6/23/2021 17:29,6/23/2021 17:50,7/6/2021 14:33,Sean,Excellent (5),Advised for a risk assessment,,Personal Call
T313,Low,New York,Security Gap,Obsolete Software,Legal,On Prem Server,6/23/2021 19:07,6/23/2021 19:09,6/23/2021 19:55,Cinderalla,Excellent (5),Recommended Threat Assessment,,Ticket Portal
T314,High,North Carolina,Cyber Security Breach,Malware Attack,Marketing,On Prem Server,6/25/2021 16:12,6/25/2021 16:13,6/25/2021 22:46,Charlotte,Excellent (5),Resolved,,Ticket Portal
T315,High,California,Data Leak,Phishing,IT,On Prem Server,6/25/2021 20:27,6/25/2021 21:33,8/4/2021 13:46,Michael,Unsatisfactory (2),Resolved,,Personal Call
T316,High,Virginia,Data Privacy,GDPR,Marketing,On Prem Server,6/28/2021 14:31,6/28/2021 14:32,6/29/2021 17:07,Kareema,Satisfactory (3),Recommended Threat Assessment,,Ticket Portal
T317,Low,California,Data Privacy,PCI-DSS,Marketing,Vendor Cloud,6/30/2021 19:00,6/30/2021 19:03,8/30/2021 18:38,Martina,Excellent (5),Advised for a risk assessment,,Ticket Portal
T318,High,Florida,Data Privacy,Privacy Assessment,IT,On Prem Cloud,6/30/2021 20:20,6/30/2021 20:20,6/30/2021 20:26,Allan,Excellent (5),Recommended Threat Assessment,,Ticket Portal
T319,Low,Louisiana,Cyber Consultation,Access Management,Marketing,On Prem Server,6/30/2021 20:31,6/30/2021 20:31,6/30/2021 20:33,Allan,Unsatisfactory (2),Advised for a risk assessment,,Ticket Portal
T32,High,Iowa,Cyber Security Breach,Malware Attack,HR,On Prem Server,1/19/2021 6:14,1/19/2021 6:16,1/25/2021 14:25,Benny,Excellent (5),Advised for a risk assessment,,Ticket Portal
T320,Medium,California,Cyber Consultation,New Application Launch,Manufacturing,Vendor Cloud,6/30/2021 20:36,6/30/2021 20:36,6/30/2021 20:39,Allan,Excellent (5),Advised for a risk assessment,,Ticket Portal
T321,Medium,Illinois,Cyber Consultation,New Application Launch,Finance,On Prem Server,6/30/2021 20:41,6/30/2021 20:42,6/30/2021 20:44,Allan,Excellent (5),Recommended Threat Assessment,,Ticket Portal
T322,High,Indiana,Data Leak,Insider Threat,Marketing,On Prem Server,6/30/2021 20:46,6/30/2021 20:47,6/30/2021 20:50,Allan,Excellent (5),Recommended Threat Assessment,,Personal Call
T323,Medium,Alabama,Data Privacy,PCI-DSS,HR,On Prem Server,6/30/2021 20:52,6/30/2021 21:02,6/30/2021 21:02,Allan,Satisfactory (3),Advised for a risk assessment,,Ticket Portal
T324,Low,California,Data Leak,Insider Threat,Manufacturing,On Prem Cloud,6/30/2021 21:07,6/30/2021 21:07,6/30/2021 21:11,Allan,Excellent (5),Recommended Threat Assessment,,Mail
T325,High,Wisconsin,Data Privacy,HIPAA,Marketing,On Prem Server,6/30/2021 21:39,7/1/2021 11:26,7/12/2021 12:01,Robbin,Satisfactory (3),Resolved,,Ticket Portal
T326,High,District of Columbia,Cyber Security Breach,Spyware,Legal,On Prem Cloud,7/1/2021 19:12,7/1/2021 19:17,7/13/2021 17:55,Michael,Excellent (5),Resolved,,Ticket Portal
T327,Low,New York,Cyber Consultation,BCP/DR,Manufacturing,Vendor Cloud,7/1/2021 20:03,7/1/2021 20:06,7/12/2021 13:39,Cinderalla,Good (4),Resolved,,Ticket Portal
T328,Medium,Florida,Data Privacy,PCI-DSS,Marketing,On Prem Server,7/5/2021 12:44,7/5/2021 12:47,7/14/2021 20:14,Bob,Excellent (5),Advised for a risk assessment,,Personal Call
T329,High,North Carolina,Cyber Security Breach,Firewall,Legal,Vendor Cloud,7/5/2021 16:00,7/5/2021 16:02,7/13/2021 17:48,Bob,Excellent (5),Resolved,,Ticket Portal
T33,Medium,New Jersey,Cyber Consultation,Secure Development,IT,Vendor Cloud,1/20/2021 8:44,1/20/2021 8:45,1/20/2021 8:52,Martina,Excellent (5),Advised for a risk assessment,,Ticket Portal
T330,Medium,Georgia,Data Leak,Phishing,HR,On Prem Cloud,7/6/2021 17:38,7/6/2021 18:00,7/8/2021 18:28,Charles,Good (4),Resolved,,Personal Call
T331,High,Nebraska,Cyber Consultation,Third Party Engagement,IT,On Prem Server,7/6/2021 21:15,7/6/2021 21:19,7/7/2021 21:33,Veronica,Unsatisfactory (2),Advised for a risk assessment,,Ticket Portal
T332,High,California,Data Leak,Vishing,Marketing,On Prem Server,7/7/2021 18:36,7/7/2021 18:37,7/14/2021 11:47,Aleena,Excellent (5),Resolved,,Personal Call
T333,High,Minnesota,Security Gap,Obsolete Software,Legal,On Prem Cloud,7/7/2021 21:39,7/7/2021 21:43,7/9/2021 19:51,Sylviya,Good (4),Advised for a risk assessment,,Ticket Portal
T334,Medium,Hawaii,Data Privacy,GDPR,IT,On Prem Cloud,7/8/2021 1:39,7/8/2021 1:39,7/8/2021 1:39,Michael,Excellent (5),Advised for a risk assessment,,Personal Call
T335,Medium,District of Columbia,Cyber Consultation,Database Security,Legal,On Prem Server,7/8/2021 17:26,7/8/2021 18:56,7/19/2021 10:54,Cinderalla,Unsatisfactory (2),Recommended Threat Assessment,,Ticket Portal
T336,Low,Florida,Security Gap,Unauthorized software,Legal,Vendor Cloud,7/9/2021 11:48,7/9/2021 11:49,7/9/2021 11:50,Michael,Excellent (5),Advised for a risk assessment,,Ticket Portal
T337,Low,Florida,Data Leak,Insider Threat,Legal,On Prem Server,7/9/2021 21:08,7/9/2021 21:34,7/19/2021 14:34,Bob,Excellent (5),Resolved,,Mail
T338,High,Virginia,Cyber Security Breach,Firewall,Finance,On Prem Server,7/9/2021 21:31,7/9/2021 21:35,7/21/2021 15:12,Bob,Unsatisfactory (2),Recommended Threat Assessment,,Personal Call
T339,High,Tennessee,Security Gap,Obsolete Software,IT,On Prem Server,7/10/2021 0:33,7/10/2021 0:41,7/24/2021 1:14,Charlotte,Good (4),Resolved,,Personal Call
T34,Low,Florida,Cyber Consultation,Segregation of Duties,Marketing,On Prem Cloud,1/21/2021 18:18,1/21/2021 18:31,6/9/2021 12:11,Robbin,Excellent (5),Resolved,,Ticket Portal
T340,Low,District of Columbia,Data Privacy,GDPR,Marketing,Vendor Cloud,7/12/2021 14:57,7/12/2021 15:24,7/19/2021 10:03,Charles,Unsatisfactory (2),Resolved,,Ticket Portal
T341,Medium,New York,Cyber Consultation,Access Management,Marketing,On Prem Server,7/13/2021 23:18,7/13/2021 23:32,7/15/2021 17:54,Sean,Excellent (5),Advised for a risk assessment,,Mail
T342,High,Pennsylvania,Data Privacy,Privacy Assessment,Legal,On Prem Server,7/14/2021 12:52,7/14/2021 12:54,7/14/2021 12:55,Charles,Excellent (5),Resolved,,Personal Call
T343,Low,North Carolina,Data Privacy,PCI-DSS,IT,On Prem Server,7/14/2021 21:37,7/16/2021 18:04,7/16/2021 18:04,Charlotte,Excellent (5),Recommended Threat Assessment,,Mail
T344,High,Indiana,Cyber Consultation,Application Offboarding,Finance,Vendor Cloud,7/15/2021 15:34,7/15/2021 15:36,7/21/2021 16:54,Kareema,Good (4),Resolved,,Mail
T345,Low,Colorado,Security Gap,Obsolete Software,HR,Vendor Cloud,7/16/2021 16:02,7/16/2021 16:04,7/22/2021 22:31,Aleena,Excellent (5),Recommended Threat Assessment,,Ticket Portal
T346,Medium,California,Data Privacy,PCI-DSS,Manufacturing,On Prem Server,7/16/2021 16:03,7/16/2021 16:04,7/22/2021 22:26,Aleena,Excellent (5),Advised for a risk assessment,,Ticket Portal
